user_id,age,gender,zip_code,device_type,sessions,avg_session_time,clicks_on_ads,converted
1,37,Female,93212,Mobile,2,8.56,1,0
2,44,Male,94665,Desktop,6,4.73,2,0
3,23,Male,95469,Mobile,5,11.89,3,0
4,44,Male,94320,Mobile,2,8.83,3,0
5,26,Female,91164,Tablet,6,6.5,5,0
6,62,Male,90692,Mobile,6,9.77,7,0
7,48,Female,95775,Mobile,5,9.44,3,0
8,38,Male,91486,Mobile,2,11.71,3,0
9,43,Male,94996,Mobile,5,12.64,2,0
10,57,Female,93130,Mobile,8,11.15,1,0
11,62,Male,94214,Mobile,5,8.99,4,0
12,30,Female,95122,Desktop,4,3.69,3,1
13,40,Female,95704,Mobile,6,8.56,2,0
14,37,Female,92708,Desktop,5,10.1,3,0
15,54,Female,94852,Mobile,4,15.45,2,0
16,45,Male,95094,Mobile,4,5.94,2,0
17,34,Male,90536,Desktop,5,3.78,1,0
18,45,Female,95811,Desktop,4,11.7,3,0
19,58,Female,91351,Mobile,2,10.12,1,0
20,19,Female,91863,Mobile,4,7.46,2,0
21,42,Male,93719,Desktop,5,12.21,3,0
22,58,Male,90697,Tablet,3,6.29,2,0
23,23,Female,93627,Tablet,1,17.09,2,0
24,28,Male,92674,Mobile,7,12.91,1,0
25,55,Male,96013,Mobile,5,12.76,5,0
26,23,Male,95364,Mobile,4,10.73,6,0
27,62,Female,94975,Desktop,2,11.03,6,0
28,28,Male,95931,Mobile,8,8.81,3,1
29,31,Female,90178,Mobile,5,11.25,0,1
30,19,Male,95113,Desktop,5,11.0,3,0
31,57,Female,95196,Mobile,5,14.0,3,0
32,20,Female,90324,Desktop,7,9.83,8,0
33,52,Male,94838,Mobile,5,10.76,3,1
34,50,Female,93774,Mobile,3,6.56,4,0
35,41,Male,95121,Mobile,8,12.81,2,1
36,36,Male,91673,Mobile,5,10.37,1,0
37,35,Female,94883,Mobile,4,11.26,5,0
38,41,Male,94883,Mobile,11,12.12,1,0
39,62,Male,91618,Mobile,2,11.38,2,0
40,52,Male,92717,Tablet,2,8.54,2,0
41,18,Male,94833,Mobile,7,13.55,3,0
42,53,Female,92707,Mobile,2,11.28,2,0
43,42,Male,91719,Mobile,5,9.76,3,0
44,62,Female,93393,Mobile,4,12.11,4,0
45,60,Female,90158,Tablet,4,11.5,1,0
46,51,Male,93159,Mobile,5,8.76,1,1
47,42,Male,95485,Mobile,4,13.21,2,0
48,33,Female,91213,Desktop,5,13.2,3,0
49,51,Male,90394,Mobile,2,2.99,4,0
