user_id,age,zip_code,sessions,avg_session_time,clicks_on_ads,converted,median_income,education_index,age_group,income_bin,lat,lon,engagement_score,gender_Female,gender_Male,gender_Other,device_Desktop,device_Mobile,device_Tablet,urban_Rural,urban_Suburban,urban_Urban,cluster
1,37,93212,2,8.56,1,0,66854,0.84,35-45,Mid-High,36.59325690655165,-116.11395301522748,0.24707830151928323,1,0,0,0,1,0,0,1,0,3
2,44,94665,6,4.73,2,0,54829,0.51,35-45,Low,39.02287578087691,-121.9258032996773,0.32021815348656024,0,1,0,1,0,0,0,1,0,0
3,23,95469,5,11.89,3,0,73896,0.55,18-25,Mid-High,39.94387933296604,-116.59389333859738,0.5196727697701597,0,1,0,0,1,0,0,0,1,2
4,44,94320,2,8.83,3,0,54783,0.75,35-45,Low,39.34719376900056,-121.4817710269872,0.31340085703155435,0,1,0,0,1,0,0,0,1,0
5,26,91164,6,6.5,5,0,81899,0.45,25-35,High,40.60583481056065,-114.87536627622488,0.45958317101675117,1,0,0,0,0,1,0,0,1,0
6,62,90692,6,9.77,7,0,39779,0.71,55-65,Low,36.485455926582205,-116.47737848417773,0.6135566809505257,0,1,0,0,1,0,0,1,0,1
7,48,95775,5,9.44,3,0,55954,0.47,45-55,Mid-Low,35.96923003235738,-121.6681814241711,0.44809115699259827,1,0,0,0,1,0,0,0,1,1
8,38,91486,2,11.71,3,0,34260,0.63,35-45,Low,36.34952073890746,-120.8282647468208,0.39754577327619794,0,1,0,0,1,0,0,0,1,0
9,43,94996,5,12.64,2,0,89668,0.78,35-45,High,33.216344229772545,-122.60889720842964,0.5123685235683676,0,1,0,0,1,0,0,0,1,3
10,57,93130,8,11.15,1,0,80141,0.56,55-65,High,39.73056120313892,-120.21684544442915,0.5564861706271913,1,0,0,0,1,0,0,0,1,1
11,62,94214,5,8.99,4,0,47526,0.53,55-65,Low,40.71701978000257,-122.35522181634312,0.4641604986365407,0,1,0,0,1,0,0,1,0,1
12,30,95122,4,3.69,3,1,77536,0.68,25-35,High,33.363223281849315,-123.22162761124106,0.2411375146084924,1,0,0,1,0,0,0,0,1,0
13,40,95704,6,8.56,2,0,54285,0.55,35-45,Low,32.89963335422459,-120.42538665330768,0.4321192052980132,1,0,0,0,1,0,0,0,1,1
14,37,92708,5,10.1,3,0,39822,0.3,35-45,Low,33.9749143522946,-115.8870523623324,0.4673743669653291,1,0,0,1,0,0,0,0,1,1
15,54,94852,4,15.45,2,0,49038,0.67,45-55,Low,37.53253732439504,-116.22374600310957,0.5555122711336189,1,0,0,0,1,0,1,0,0,1
16,45,95094,4,5.94,2,0,32791,0.49,35-45,Low,32.089084756384075,-121.95620898107505,0.2776587456174523,0,1,0,0,1,0,0,1,0,1
17,34,90536,5,3.78,1,0,71828,0.74,25-35,Mid-High,34.65117017098618,-118.5198635379126,0.22428905336969224,0,1,0,1,0,0,0,0,1,0
18,45,95811,4,11.7,3,0,61579,0.69,35-45,Mid-Low,40.11623260884096,-114.55214194002504,0.4751655629139072,1,0,0,1,0,0,0,1,0,1
19,58,91351,2,10.12,1,0,73763,0.74,55-65,Mid-High,33.4174577923835,-120.79050800223465,0.29265679781846504,1,0,0,0,1,0,0,1,0,3
20,19,91863,4,7.46,2,0,49139,0.37,18-25,Low,34.78207661028693,-118.41897057993503,0.32206856252434746,1,0,0,0,1,0,1,0,0,0
21,42,93719,5,12.21,3,0,68689,0.73,35-45,Mid-High,40.8097182945939,-114.03725075493772,0.5290222049084534,0,1,0,1,0,0,0,0,1,2
22,58,90697,3,6.29,2,0,76483,0.94,55-65,High,37.49785446487308,-116.94134804262882,0.24892871055707055,0,1,0,0,0,1,0,0,1,3
23,23,93627,1,17.09,2,0,71786,0.56,18-25,Mid-High,32.90858481706516,-118.65710933506948,0.4865601869887028,1,0,0,0,0,1,0,1,0,0
24,28,92674,7,12.91,1,0,81123,0.39,25-35,High,39.51965686542328,-114.1986407135166,0.5689520841449163,0,1,0,0,1,0,0,0,1,2
25,55,96013,5,12.76,5,0,71750,0.57,45-55,Mid-High,34.81111426497158,-122.59967621916421,0.6035255161667314,0,1,0,0,1,0,0,0,1,1
26,23,95364,4,10.73,6,0,67268,0.72,18-25,Mid-High,40.73019646018929,-117.45349333178936,0.534476042072458,0,1,0,0,1,0,0,0,1,2
27,62,94975,2,11.03,6,0,69718,0.74,55-65,Mid-High,36.5625347174086,-118.64167510232238,0.46532917802882745,1,0,0,1,0,0,0,0,1,3
28,28,95931,8,8.81,3,1,66773,0.67,25-35,Mid-High,37.30596545187687,-122.20921801510775,0.5465523957927542,0,1,0,0,1,0,0,0,1,2
